#,designator,Qty,Value,Footprint,DNP,LCSC
1,"D101, D102, D103, D104",4,SMF24CA,Diode_SMD:D_SOD-123F,,C19077515
2,"D105, D106, D107, D108",4,BAT54C,Package_TO_SOT_SMD:SOT-23,,C37704
3,"J101, J102, J103, J104, J105, J106, J107, J108, J109, J110, J111, J112, J113, J114, J115, J116",16,Conn_01x01_PAD,PCB_FOOTPRINT_Library:Conn_pin_PLC,,
4,J117,1,DB128L-5.08-3P-BK-S,PCB_FOOTPRINT_Library:XY128V-A-5.08-3P,,C430602
5,J118,1, DB128L-5.08-2P-BK-S,PCB_FOOTPRINT_Library:1729128,,C430601
6,"J119, J120",2,DB128L-5.08-2P-BK-S,PCB_FOOTPRINT_Library:1729128,,C430601
7,J122,1,B04B-XASK-1,PCB_FOOTPRINT_Library:CONN_B04B-XASK-1_JST,,C264994
8,"JP101, JP102, JP103",3,SolderJumper_2_Open_PCB,PCB_FOOTPRINT_Library:SolderJumper-2_P2.6mm_Open_RoundedPad2.0x3mm,,
