Designator,Footprint,Quantity,Value,LCSC Part #
"J101, J102, J103, J104, J105, J106, J107, J108, J109, J110, J111, J112, J113, J114, J115, J116, J117, J119, J120, J121",Conn_pin_PLC,20,Conn_01x01_PAD,
J118,1759091,1,DB2ERC-5.08-10P-GN,C395803
