#,designator,Qty,Value,Footprint,DNP,LCSC
1,"J101, J102, J103, J104, J105, J106, J107, J108, J109, J110, J111, J112, J113, J114, J115, J116, J117, J119, J120, J121",20,Conn_01x01_PAD,PCB_FOOTPRINT_Library:Conn_pin_PLC,,
2,J118,1, DB128L-5.08-2P-BK-S,1729128,,C430601
3,"J122, J123, J124, J125",4,DB128L-5.08-2P-BK-S,1729128,,C430601
4,J127,1,B04B-XASK-1,PCB_FOOTPRINT_Library:CONN_B04B-XASK-1_JST,,C264994
5,"R101, R102",2,360R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,,C58649
6,"R103, R104",2,475R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,,C138206
